id,question_no,type,title,body,code_block,instruction,answer_count,explanation,shuffle_items,metadata_json
q009,#009,single_choice,キーワード抽出,"テキスト処理ソリューションを開発しています。
関数を呼び出して、次の文字列を 2 番目の引数として使用します。
「ロンドンのツアーにはバッキンガム宮殿への訪問も含まれていました。」
関数の出力は何でしょうか?","static void GetKeyWords(TextAnalyticsClient textAnalyticsClient, string text)
{
  var response = textAnalyticsClient.RecognizeEntities(text);
  Console.WriteLine(""key words:"");

  foreach(CategorizedEntity entity in response.Value)
  {
    Console.WriteLine($""{entity.Text}"");
  }
}",1つ選択してください,1,RecognizeEntities により地名や施設名などのエンティティが抽出されます。,true,{}
q001,#001,multi_choice,Autocomplete,"スマート電子商取引プロジェクトを開発しています。
Cognitive Search ソリューションの一部としてオートコンプリートを実装する必要があります。
実行すべき3つのアクションはどれですか？ それぞれの正解は解決策の一部を示しています。(3つ選択してください。)
注：正解の選択ごとに1ポイント獲得できます。",,3つ選択してください,3,suggester の構成、オートコンプリート エンドポイントの利用、適切な analyzer 設定がポイントです。,true,{}
q002,#002,drag_drop,Video Indexer の処理順,"あなたは製品作成プロジェクトを計画しています。
ビデオを分析するためのプロセスを推奨する必要があります。
どの 4 つのアクションを順番に実行する必要がありますか。回答するには、アクションのリストから適切なアクションを回答エリアに移動し、正しい順序に並べます。(4 つ選択してください。)",,正しい順に並べてください,4,BLOB にアップロードし、Video Indexer でインデックス化し、トランスクリプトを抽出して翻訳します。,true,"{""mode"": ""sequence"", ""required_items"": 4}"
q004,#004,dropdown,SuggestAltText,"製品作成プロジェクトのために画像をアップロードするためのコードを開発する必要があります。ソリューションはアクセシビリティ要件を満たす必要があります。
コードをどのように完成させるべきですか? 回答するには、回答エリアで適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

Public static async Task<string> SuggestAltText(ComputerVisionClient client, <select01> image)
{
  List<VisualFeatureTypes?> features = new List<VisualFeatureTypes?>()
  {
    <select02>
  };
  ImageAnalysis results = await client.AnalyzeImageAsync(image, features);
  <select03>

  if(c.Confidence > 0.5) return(c.Text);
}",,各ドロップダウンを選択してください,3,Description と Captions を利用して代替テキストを生成します。,false,{}
q005,#005,dropdown,Adaptive Card,"外出先でのショッピング プロジェクトを開発しています。
チャットボット用のアダプティブ カードを構築する必要があります。
コードをどのように完成させるべきですか? 回答するには、回答エリアで適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

{
  ""version"": ""1.3"",
  ""body"": [
    {
      ""type"": ""textBlock"",
      ""size"": ""medium"",
      ""weight"": ""bolder"",
      ""text"": ""${<select01>}""
    },
    {
      ""type"": ""textBlock"",
      <select02>
      ""color"": ""Attention""
    },
    {
      ""type"": ""Image"",
      ""url"": ""${image.url}"",
      ""size"": ""Medium"",
      ""altText"": ""${<select03>}""
    }
  ]
}",,各ドロップダウンを選択してください,3,言語別 name の参照、在庫状態に応じた条件表示、画像 alt text の言語別参照がポイントです。,false,{}
q006,#006,dropdown,Translator REST URI,"あなたは製品作成プロジェクトを計画しています。
多言語の製品説明を作成するには、REST エンドポイントを構築する必要があります。
URI をどのように完了すればよいですか? 回答するには、回答領域で適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

<select01><select02>?api-version=3.0&to=es&to=pt",,各ドロップダウンを選択してください,2,Translator Text API のエンドポイントと translate パスを選択します。,false,{}
q007,#007,dropdown,QnA Maker のロール割り当て,"外出先でのショッピング プロジェクトを開発しています。
QnA Maker リソースへのアクセスを構成しています。
AllUsers と LeadershipTeam にはどのロールを割り当てる必要がありますか? 回答するには、回答領域で適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

AllUsers:<select01>
LeadershipTeam:<select02>",,各ドロップダウンを選択してください,2,一般利用者と管理寄り権限で必要なロールを割り当てます。,false,{}
q008,#008,dropdown,PDF からのテキスト抽出と感情分析,"PDF ファイルとして保存されたプレス リリースのコレクションがあります。
ファイルからテキストを抽出し、感情分析を実行する必要があります。
各タスクにはどのサービスを使用する必要がありますか? 回答するには、回答エリアで適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

テキスト抽出:<select01>
感情分析を実行:<select02>",,各ドロップダウンを選択してください,2,OCR/テキスト抽出は Computer Vision、感情分析は Language サービスです。,false,{}
q010,#010,dropdown,Relational Database,"文を正しく完成させる答えを選択してください。

EN:
A relational database is appropriate for scenarios that involve a high volume of <select01>.
JP:
リレーショナル データベースは、大量の <select01> が関係するシナリオに適しています。",,ドロップダウンを選択してください,1,リレーショナル データベースはトランザクション整合性が重要な大量トランザクション書き込みに向いています。,false,{}
q034,#034,single_yesno,Search throttling,"注: この問題は、同じシナリオを提示する一連の問題の一部です。一連の問題にはそれぞれ、定められた目標を満たす可能性のある独自の解答が含まれています。
Azure Cognitive Search サービスがあります。
過去 12 か月間、クエリ量は着実に増加しました。
Cognitive Search サービスへの一部の検索クエリ要求が調整されていることがわかりました。
検索クエリ要求が調整される可能性を減らす必要があります。
解決策: インデックスを追加します。
これは目標を満たしていますか?",,はい / いいえ を選択してください,1,検索要求のスロットリング対策としては、一般にレプリカやパーティションの調整が中心であり、単にインデックスを追加しても直接的な対策にはなりません。,false,{}
q022,#022,multi_yesno,Speech SSML,"Resource1 という名前の Azure AI Language リソースを含む Azure サブスクリプションがあります。
次の cURL コマンドを実行し、Output.mp3 ファイルを再生します。
以下の各文について、正しい場合は「はい」を選択してください。そうでない場合は「いいえ」を選択してください。
注意: 正しい選択ごとにポイントが加算されます。","curl --location --request POST ""https://eastus.tts.speech.microsoft.com/cognitiveservices/v1""
--header ""Ocp-Apim-Subscription-Key: 3795c4011f714f5aa66469e573109e4f""
--header ""Content-Type: application/ssml+xml""
--header ""X-Microsoft-OutputFormat: audio-16khz-128kbitrate-mono-mp3""
--header ""User-Agent: curl""
--data-raw ""
<speak version='1.0' xml:lang='en-US'>
  <voice xml:gender='Female' name='en-US-JennyNeural'>
    Welcome to the Azure Text-to-Speech demonstration.
  </voice>
  <voice xml:gender='Male' name='en-GB-RyanNeural'>
    This service allows you to convert text into natural-sounding speech.
  </voice>
  <voice xml:gender='Male' name='en-US-ChristopherNeural'>
    <mstts:express-as style='advertisement_upbeat' styledegree='2'>
      It's easy to integrate, customizable, and supports multiple languages and voices.
    </mstts:express-as>
  </voice>
</speak>
""
--output output.mp3",各文について Yes / No を選択してください,3,異なる音声名は使われていますが、設問の正解は入力どおり保持しています。,false,{}
q011,#011,single_choice,LUIS 請求先住所エンティティ,"eコマースプラットフォーム用の言語理解モデルを構築しています。請求先住所を取得するためのエンティティを構築する必要があります。
請求先住所にはどのエンティティ タイプを使用する必要がありますか?",,1つ選択してください,1,請求先住所のような複合的なパターンは、固定リストや正規表現よりも機械学習エンティティが適しています。,true,{}
q013,#013,dropdown,Custom Neural Voice SSML,"カスタム ニューラル音声を使用するテキスト読み上げアプリを構築しています。
アプリ用のSSMLファイルを作成する必要があります。ソリューションでは、音声プロファイルが以下の要件を満たしていることを確認する必要があります。
* 落ち着いた口調を表現する
* 若い成人女性の声を真似る
コードをどのように完成させるべきですか? 回答するには、回答の中で適切なオプションを選択してください。注: 正しい選択ごとに 1 ポイントが加算されます。

<mstts:express-as <select01> =""YoungAdultFemale"" <select02> =""gentle"">
  How can I assist you?
</mstts:express-as>",,各ドロップダウンを選択してください,2,年齢・性別に相当する表現は role、口調は style で指定します。,false,{}
q014,#014,multi_yesno,Bot Framework Composer ダイアログ,"Microsoft Bot Framework Composer を使用してチャットボットを構築しています。
次の図に示すようなダイアログ デザインがあります。

以下の各文について、正しい場合は「はい」を選択してください。そうでない場合は「いいえ」を選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。",,各文について Yes / No を選択してください,3,設問の回答に従い、1つ目はいいえ、2つ目と3つ目ははいとして保持しています。,false,{}
q015,#015,single_choice,Microsoft Foundry プロジェクト,"Agent1 という名前のカスタム エージェントがあります。
Microsoft Foundry を使用して、Agent1 へのアクセスを制御し、アクティビティを監視する必要があります。
まず何をすべきでしょうか?",,1つ選択してください,1,アクセス制御や監視の基盤として、まず Foundry プロジェクトを作成します。,true,{}
q016,#016,drag_drop,Search キー侵害時の対応,"Azure Cognitive Search を使用する Web アプリがあります。
アプリの請求明細を確認したところ、予想よりもはるかに高い請求額が見つかりました。クエリキーが不正使用されたのではないかと疑っています。
検索エンドポイントへの不正アクセスを防ぎ、ユーザーがドキュメントコレクションに対して読み取り専用アクセスのみを行えるようにする必要があります。このソリューションでは、アプリのダウンタイムを最小限に抑える必要があります。
順番に実行する必要がある 3 つのアクションはどれですか。回答するには、適切なアクションをアクション リストから回答領域に移動し、正しい順序に並べます。",,正しい順に並べてください,3,新しいクエリキーを発行し、アプリを切り替えてから侵害されたキーを削除する流れです。,true,"{""mode"": ""sequence"", ""required_items"": 3}"
q019,#019,multi_choice,Translator API の追加クエリ パラメーター,"Translator API を使用するアプリケーションのメソッドを開発しています。
このメソッドはウェブページのコンテンツを受け取り、それをギリシャ語（el）に翻訳します。結果には、ローマ字による翻字も含まれます。
Translator API を呼び出すための URI を作成する必要があります。現在の URI は以下のとおりです。
https://api.cognitive.microsofttranslator.com/translate?api-version=3.0
URI に含めるべき 3 つの追加クエリ パラメーターはどれですか。それぞれの正解はソリューションの一部を示しています。(3 つ選択してください。) 注: 正解の選択ごとに 1 ポイントが加算されます。",,3つ選択してください,3,HTML コンテンツ指定、翻訳先言語、ローマ字翻字先スクリプトの指定が必要です。,true,{}
q020,#020,drag_drop,LUIS ToDo ドメインの構築順,"タスク追跡をサポートするチャットボットを構築する予定です。
lu1 という名前の Language Understanding サービスを作成します。
チャットボットに統合するための言語理解モデルを構築する必要があります。ソリューションは、モデル構築にかかる開発時間を最小限に抑える必要があります。
どの 4 つのアクションを順番に実行する必要がありますか。回答するには、アクションのリストから適切なアクションを回答エリアに移動し、正しい順序に並べます。(4 つ選択してください。)",,正しい順に並べてください,4,新規アプリ作成後、ToDo の事前構築ドメインを追加し、トレーニングして公開します。,true,"{""mode"": ""sequence"", ""required_items"": 4}"
q003,#003,dropdown,PDF 検索用スキルセット設計,"スマート電子商取引プロジェクトを開発しています。
検索に PDF の内容を含めるようにスキルセットを設計する必要があります。
スキルセット設計図はどのように完成させるべきでしょうか？適切なサービスを適切なステージにドラッグしてください。各サービスは1回、複数回、または全く使用されない場合があります。コンテンツを表示するには、ペイン間の分割バーをドラッグするか、スクロールする必要がある場合があります。
注意: 正しい選択ごとに 1 ポイントが付与されます。

EN:
Source:<select01>
Cracking:<select02>
Preparation:<select03>
Destination:<select04>",,各ドロップダウンを選択してください,4,今回の指定に合わせてドロップダウン形式で反映しています。,false,{}
q012,#012,dropdown,Document Intelligence の選定,"Azure サブスクリプションをお持ちです。
スキャンしたドキュメントを分析し、関連するフィールドをデータベースにエクスポートするソリューションを構築する予定です。
次の種類のドキュメントに対して、どの Azure Al サービスをデプロイするかを推奨する必要があります。
* 社内支出申請承認フォーム
* 仕入先請求書
ソリューションでは開発の労力を最小限に抑える必要があります。
各ドキュメントタイプに対してどのような推奨事項がありますか? 回答するには、回答領域で適切なオプションを選択してください。
注: 正解ごとに1ポイント獲得

JP:
社内支出申請承認フォーム：<select01>。
仕入先請求書：<select02>。",,各ドロップダウンを選択してください,2,今回ご提示いただいた回答内容で反映しています。,false,{}
q017,#017,drag_drop,画像説明のための Azure OpenAI Studio 操作順,"AH という名前の Azure OpenAI リソースを含む Azure サブスクリプションがあります。
テキストの説明を取得するには、画像を分析する必要があります。
Azure OpenAI Studio から順番に実行する必要がある 4 つのアクションはどれですか。回答するには、適切なアクションをアクション リストから回答領域に移動し、正しい順序に並べます。",,正しい順に並べてください,4,GPT-4 vision-preview のデプロイを作成し、Chat プレイグラウンドでシステムメッセージ設定後に画像付きプロンプトを送信します。,true,"{""mode"": ""sequence"", ""required_items"": 4}"
q018,#018,drag_drop,Anomaly Detector コンテナーのデプロイ,"Azure Al Anomaly Detector サービスを使用する監視ソリューションがあります。
断続的にインターネットにアクセスできる Server1 という名前のサーバーをプロビジョニングします。
Azure Al Anomaly Detector をサーバー 1 にデプロイする必要があります。
どの 4 つのアクションを順番に実行する必要がありますか? 回答するには、適切なアクションをアクション リストから回答領域に移動し、正しい順序に並べます。",,正しい順に並べてください,4,Docker を導入し、コンテナーを pull・run して、Server1 上の予測エンドポイントを呼び出します。,true,"{""mode"": ""sequence"", ""required_items"": 4}"
q021,#021,multi_choice,CLU モデルの精度評価,"会話型言語理解モデルをトレーニングして、ユーザーの自然言語入力を理解します。
モデルを展開する前に、その精度を評価する必要があります。
使用できる 2 つの方法は何ですか。それぞれの正解は完全な解決策を示します。
注意: 正しい選択ごとに 1 ポイントが付与されます。",,2つ選択してください,2,言語オーサリング REST エンドポイントによるモデル評価の概要取得と、Language Studio のモデル パフォーマンス確認が有効です。,true,{}
q023,#023,drag_drop,Bot Framework SDK のローカル テスト,"Microsoft Bot Framework SDK を使用してボットを構築します。
ローカル マシン上でボットを対話的にテストする必要があります。
順番に実行する必要がある 3 つのアクションはどれですか。回答するには、適切なアクションをアクション リストから回答領域に移動し、正しい順序に並べます。
注意：正解の選択肢は複数あります。正解の選択肢の中からどれを選択しても、得点は加算されます。",,正しい順に並べてください,3,ローカルでは、ボットを実行し、Bot Framework Emulator を開き、エンドポイントに接続してテストします。,true,"{""mode"": ""sequence"", ""required_items"": 3}"
q024,#024,single_choice,カスタム ニューラル音声の声優プロフィール,カスタム ニューラル音声を使用する小売キオスク システムを構築しています。音声サンプルを取得し、声優から同意を得ます。声優プロフィールを作成する必要があります。プロフィールに何をアップロードする必要がありますか?,,1つ選択してください,1,声優プロフィールには、合成への同意を得た声優の音声ファイルをアップロードします。,true,{}
q025,#025,dropdown,Azure Content Understanding のスキーマ,"Foundry Tools の Azure Content Understanding を使用してカスタム アナライザーを開発しています。
スキーマを作成したら、図に示すようにデータにラベルを付けます。(図のタブをクリックします。)ドロップダウンメニューを使用して、図に示された情報に基づいて各ステートメントを完成させる回答の選択肢を選択します。
注意: 正しい選択ごとに 1 ポイントが加算されます。

スキーマでは、Benefitsフィールドの型を<select01>として定義しています。
スキーマには<select02>フィールドが含まれています。",,各ドロップダウンを選択してください,2,Benefits は table 型で、スキーマのフィールド数は 5 です。,false,{}
q026,#026,single_choice,HR ポリシー Q&A の一貫した回答,"PDF 形式で保存されている人事 (HR) ポリシーに関する質問に答えるソリューションを設計しています。
特定の質問に対して、毎回同じ回答が返されることを保証する必要があります。ソリューションは開発労力を最小限に抑える必要があります。ソリューションにはどのサービスを含めるべきですか？",,1つ選択してください,1,毎回同じ回答を返したい場合は、生成 AI よりも Azure AI 言語ベースの Q&A が適しています。,true,{}
q027,#027,drag_drop,会話型言語理解モデルの構築手順,"タスク追跡をサポートするチャットボットを構築する予定です。
Iu1 という名前の会話型言語理解サービスを作成します。
チャットボットに統合するための会話型言語理解モデルを構築する必要があります。ソリューションは、モデル構築にかかる開発時間を最小限に抑える必要があります。
どの 4 つのアクションを順番に実行する必要がありますか? 回答するには、適切なアクションをアクション リストから回答領域に移動し、正しい順序に並べます。",,正しい順に並べてください,4,新しいアプリケーションを作成し、事前構築済み ToDo ドメインを追加して、トレーニング後に公開します。,true,"{""mode"": ""sequence"", ""required_items"": 4}"
q028,#028,dropdown,Speech SDK クラスの選定,"次のアクションを実行する通話処理システムを構築しています。
フランス語の着信ボイスメールを受け入れます。
ボイスメールをフランス語から英語に変換します。
各アクションには、どの Azure Speech in Foundry Tools SDK クラスを使用する必要がありますか? 回答するには、回答領域で適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが加算されます。

着信ボイスメールをフランス語で受信します<select01>。
ボイスメールをフランス語から英語に変換します<select02>。",,各ドロップダウンを選択してください,2,音声入力の受け取りには AudioConfig、翻訳付き認識には TranslationRecognizer を使います。,false,{}
q029,#029,dropdown,授業計画と学習コンテンツの分析,"言語学習ソリューションを構築しています。
次のタスクを実行するために使用できる Azure サービスを推奨する必要があります。
* 教師が提出した授業計画を分析し、授業時間や必要なテキストなどの重要なフィールドを抽出します。
* 学習コンテンツを分析し、テキストでよく使用される単語やフレーズを表す画像を学生に提供します。ソリューションでは、開発の労力を最小限に抑える必要があります。
各タスクにどの Azure サービスをお勧めしますか? 回答するには、回答領域で適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

授業計画を分析します:<select01>。
学習内容を分析します:<select02>。",,各ドロップダウンを選択してください,2,構造化抽出は Document Intelligence、読み支援や画像連携の学習支援には Immersive Reader が適しています。,false,{}
q030,#030,dropdown,Cognitive Services リソース作成 URI,"次の構成の Azure サブスクリプションがあります。
* サブスクリプションID: 8d3591aa-96b8-4737-ad09-OOf9b1ed35ad
* テナントID: 3edfe572-cbS4-3ced-ae12-c5c177f39a12
感情分析と光学式文字認識 (OCR) を実行するリソースを作成する予定です。
サブスクリプションにリソースを作成するには、HTTPリクエストを使用する必要があります。ソリューションでは、単一のキーとエンドポイントを使用する必要があります。
リクエストをどのように完了すればよいですか? 回答するには、回答領域で適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。

https://management.azure.com/<select01>/resourceGroups/OCRProject/providers/<select02>/accounts/CS1?api-version=2021-10-01",,各ドロップダウンを選択してください,2,Cognitive Services マルチサービス リソースなので、subscriptions/{id} と Microsoft.CognitiveServices を指定します。,false,{}
q031,#031,multi_yesno,Speech SDK での音声合成,"Resource1 という名前の Azure AI Speech サービス リソースがあります。
次の Python コードを実行して Resource1 を呼び出します。

以下の各文について、正しい場合は「はい」を選択してください。そうでない場合は「いいえ」を選択してください。
注意: 正しい選択ごとにポイントが加算されます。","def synthesize_speech(input):
  speech_config = speechsdk.SpeechConfig(subscription=os.environ.get('YourSpeechKey'), region=os.environ.get('YouｒSpeechRegion'))
  audio_config = speechsdk.audio.AudioOutputConfig(filename=""path/to/file.wav"")
  speech_synthesizer = speechsdk.SpeechSynthesizer(speech_config=speech_config, audio_config=audio_config)
  speech_synthesizer.speak_text_async(input)",各文について Yes / No を選択してください,3,この関数は入力テキストから音声を合成してファイル出力します。既存ファイルの存在やサンプリング用途ではありません。,false,{}
q032,#032,single_choice,Speech API の voices/list エンドポイント,"テキストを音声に変換するソーシャルメディア拡張機能を構築しています。ソリューションは以下の要件を満たす必要があります。
* 最大 400 文字のメッセージをサポートします。
* ユーザーに複数の音声オプションを提供します。
* コストを最小限に抑えます。
Azure Cognitive Services リソースを作成します。
利用可能な音声オプションをユーザーに提供する Speech API エンドポイントはどれですか?",,1つ選択してください,1,利用可能な音声一覧を取得するには TTS の voices/list エンドポイントを使います。,true,{}
q033,#033,multi_choice,財務文書のテキスト抽出 API,"ドキュメント処理ワークフローを開発しています。
財務文書からテキストを抽出するために使用するAPIエンドポイントを特定する必要があります。ソリューションは、文書処理要件を満たす必要があります。
どの 2 つの API エンドポイントを識別する必要がありますか? それぞれの正解はソリューションの一部を示します。
注意: 正しい選択ごとに 1 ポイントが付与されます。",,2つ選択してください,2,Read API の analyze と analyzeResults を組み合わせてテキスト抽出を行います。,true,{}
q035,#035,single_yesno,CMK 暗号化と Search throttling,"注: この問題は、同じシナリオを提示する一連の問題の一部です。一連の問題にはそれぞれ、定められた目標を満たす可能性のある独自の解答が含まれています。問題セットによっては、複数の正解が存在する場合もあれば、正解がない場合もあります。
このセクションの質問に回答した後は、その質問に戻ることはできません。そのため、これらの質問はレビュー画面に表示されません。
Azure Cognitive Search サービスがあります。
過去 12 か月間、クエリ量は着実に増加しました。
Cognitive Search サービスへの一部の検索クエリ要求が調整されていることがわかりました。
検索クエリ要求が調整される可能性を減らす必要があります。
解決策: カスタマー管理キー (CMK) 暗号化を有効にします。
これは目標を満たしていますか?",,はい / いいえ を選択してください,1,CMK 暗号化はデータ保護の設定であり、クエリ スロットリングの低減策ではありません。,false,{}
q036,#036,dropdown,Content Understanding アナライザー作成コマンド,"cu1 という名前の Azure AI コンテンツ理解リソースを含む Azure サブスクリプションがあります。
ドキュメントを分析するカスタム アナライザーを作成する必要があります。
コマンドをどのように完了すればよいですか? 回答するには、回答領域で適切なオプションを選択してください。
注意: 正しい選択ごとに 1 ポイントが付与されます。","curl -i -x <select01> ""https://cu1.services.ai.azure.com/<select02>/analyzers/myInvoice?api-version=2024-12-01-preview""",各ドロップダウンを選択してください,2,カスタム アナライザー作成は PUT と contentunderstanding パスを使います。,false,{}
q037,#037,dropdown,Custom neural voice と narration,"ビデオ トレーニング ソリューションのコンテンツを作成しています。
動画コンテンツに付随するナレーションを作成する必要があります。ソリューションにはカスタムニューラル音声を使用する必要があります。
カスタムニューラル音声を作成するには何を使用すればよいですか。また、ナレーションを生成するにはどのサービスを使用すればよいですか。回答するには、回答エリアで適切なオプションを選択してください。
注意: 正解ごとに 1 ポイントが付与されます。

Custom neural voice:<select01>
Narration:<select02>",,各ドロップダウンを選択してください,2,カスタム ニューラル音声は Speech Studio、ナレーション生成は Text-to-speech を使います。,false,{}
q038,#038,multi_choice,ドキュメント レベルのフィルタリング,"社内ドキュメントに Azure Cognitive Search を使用するアプリケーションを開発しています。
Azure Cognitive Search にはドキュメント レベルのフィルタリングを実装する必要があります。
解決策に含めるべき 3 つのアクションはどれですか。それぞれの正解は解決策の一部を示しています。
注意: 正しい選択ごとに 1 ポイントが付与されます。",,3つ選択してください,3,ユーザーのグループを取得し、各ドキュメントに許可グループを格納し、検索時にフィルターで制御します。,true,{}
